oracle_kind,input_id,origin,sample_bytes,status,baseline,baseline_bytes,oracle_bytes,headroom_bytes,headroom_percent,winner,evaluated_candidates,no_coordinate_bytes,whole_coordinate_bytes,basis_bytes,basis_incremental_winner,budget_exhausted,complete_within_declared_catalogue,source,notes
native_coordinate_basis_incremental_ablation,alice29.txt:block-0017,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2961,2961,0,0.000000000,no-coordinate,3,2961,2969,3078,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0009,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2962,2962,0,0.000000000,no-coordinate,3,2962,2970,3082,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0026,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2964,2964,0,0.000000000,no-coordinate,3,2964,2972,3085,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0003,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2973,2973,0,0.000000000,no-coordinate,3,2973,2981,3100,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0031,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2976,2976,0,0.000000000,no-coordinate,3,2976,2984,3096,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0000,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2977,2977,0,0.000000000,no-coordinate,3,2977,2985,3107,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0025,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2984,2984,0,0.000000000,no-coordinate,3,2984,2992,3104,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0021,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2988,2988,0,0.000000000,no-coordinate,3,2988,2996,3112,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0019,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2990,2990,0,0.000000000,no-coordinate,3,2990,2998,3105,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0020,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2992,2992,0,0.000000000,no-coordinate,3,2992,3000,3114,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0012,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2999,2999,0,0.000000000,no-coordinate,3,2999,3007,3120,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0010,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",2999,2999,0,0.000000000,no-coordinate,3,2999,3007,3121,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0006,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",3002,3002,0,0.000000000,no-coordinate,3,3002,3010,3131,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0030,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",3009,3009,0,0.000000000,no-coordinate,3,3009,3017,3136,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0028,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",3015,3015,0,0.000000000,no-coordinate,3,3015,3023,3134,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,alice29.txt:block-0027,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",3015,3015,0,0.000000000,no-coordinate,3,3015,3023,3141,false,true,false,datasets/data/canterbury/alice29.txt,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,progc:block-0002,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",3039,3039,0,0.000000000,no-coordinate,3,3039,3047,3579,false,true,false,datasets/data/calgary/progc,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,progc:block-0000,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",3131,3131,0,0.000000000,no-coordinate,3,3131,3139,3587,false,true,false,datasets/data/calgary/progc,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,progc:block-0005,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",3133,3133,0,0.000000000,no-coordinate,3,3133,3141,3390,false,true,false,datasets/data/calgary/progc,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,progc:block-0003,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",3163,3163,0,0.000000000,no-coordinate,3,3163,3171,3398,false,true,false,datasets/data/calgary/progc,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,progc:block-0007,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",3197,3197,0,0.000000000,no-coordinate,3,3197,3205,3405,false,true,false,datasets/data/calgary/progc,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,progc:block-0006,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",3210,3210,0,0.000000000,no-coordinate,3,3210,3218,3391,false,true,false,datasets/data/calgary/progc,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
native_coordinate_basis_incremental_ablation,progc:block-0001,real,4096,bounded_incomplete,"min(no-coordinate,whole-coordinate)",3211,3211,0,0.000000000,no-coordinate,3,3211,3219,3365,false,true,false,datasets/data/calgary/progc,Frozen 73-block real development scan. Each value is a complete native archive under the current Canonical/LZ-Huffman function leaf.
